날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2020-08-01,        15,        23,        26,        17,        16,        17,        26,        17,        17,        20,        19,        16,        21,        20,        24,        28,        17
2020-08-02,        12,        41,        28,        15,        18,        13,        33,        12,        11,        14,        17,        17,        31,        25,        36,        38,        14
2020-08-03,        15,        44,        32,        19,        29,        18,        36,        14,        12,        18,        23,        26,        38,        28,        40,        42,        18
2020-08-04,        38,        65,        44,        47,        38,        25,        54,        35,        16,        23,        38,        34,        52,        38,        57,        54,        26
2020-08-05,        35,        34,        41,        36,        28,        28,        33,        33,        16,        23,        32,        28,        33,        39,        34,        32,        26
2020-08-06,        16,        43,        23,        16,        20,,        30,        16,        12,        14,        18,        18,        25,        22,        32,        42,        14
2020-08-07,        27,        48,        18,        22,        16,         6,        37,        27,        21,        17,        19,        13,        46,        17,        42,        62,        15
2020-08-08,        14,        16,         7,        13,        12,         5,        14,        15,        14,        12,        12,         8,        21,         8,        15,        24,         6
2020-08-09,        10,        17,        11,        11,        11,         9,        13,        11,        11,        12,        13,        11,        17,        14,        15,        17,        10
2020-08-10,        13,        15,         9,        13,         8,         8,        15,        13,        12,        11,        12,         8,        13,         9,        12,        19,        10
2020-08-11,        11,        23,        22,        11,        20,        11,        19,        13,        10,        10,        16,        18,        23,        17,        20,        24,        10
2020-08-12,        23,        20,        22,        26,        17,        17,        20,        25,        18,        17,        22,        19,        21,        17,        21,        24,        18
2020-08-13,        26,        23,        24,        27,        16,        21,        24,        27,        20,        20,        22,        19,        21,        21,        22,        20,        21
2020-08-14,        33,        25,        27,        34,        22,        25,        26,        33,        22,        27,        29,        25,        25,        25,        25,        24,        25
2020-08-15,        37,        29,        26,        36,        17,        24,        29,        35,        21,        30,        29,        23,        19,        26,        27,        16,        24
2020-08-16,        23,        21,        21,        22,        17,        16,        23,        22,        22,        20,        20,        19,        19,        22,        21,        20,        17
2020-08-17,        25,        35,        25,        23,        23,        23,        35,        26,        25,        23,        24,        22,        23,        23,        30,        24,        24
2020-08-18,        34,        47,        31,        31,        26,        27,        48,        35,        28,        34,        30,        26,        31,        29,        37,        34,        28
2020-08-19,        43,        54,        37,        43,        35,        36,        51,        45,        38,        44,        40,        33,        37,        34,        42,        35,        40
2020-08-20,        37,        53,        40,        37,        32,        37,        41,        41,        34,        41,        39,        33,        35,        36,        45,        27,        40
2020-08-21,        29,        44,        48,        29,        36,        38,        39,        32,        18,        38,        35,        33,        41,        35,        50,        29,        37
2020-08-22,        17,        24,        27,        23,        43,        29,        20,        22,        15,        25,        34,        38,        38,        20,        32,        34,        28
2020-08-23,        13,        28,        25,        14,        30,        20,        22,        17,        15,        20,        24,        29,        33,        20,        31,        28,        19
2020-08-24,        24,        30,        32,        24,        26,        26,        31,        27,        24,        26,        30,        29,        32,        30,        33,        36,        27
2020-08-25,        32,        38,        34,        34,        25,        25,        42,        34,        28,        27,        33,        28,        31,        34,        35,        31,        28
2020-08-26,        23,        28,        26,        25,        16,        22,        28,        25,        23,        22,        27,        19,        21,        27,        24,,        20
2020-08-27,        21,        21,        20,        23,        24,        21,        18,        22,        20,        19,        24,        24,        30,        19,        23,        26,        19
2020-08-28,        23,        14,        19,        22,        13,        18,        16,        23,        22,        20,        22,        17,        17,        19,        16,        21,        17
2020-08-29,        16,        14,        14,        16,         9,        10,        15,        16,        15,        12,        13,        11,        14,        15,        17,        17,        10
2020-08-30,        14,        23,        17,        15,        12,        11,        17,        16,        11,        11,        16,        11,        17,        13,        20,        21,        12
2020-08-31,        10,        16,        14,        11,        18,         7,        15,        12,        14,        12,        17,        15,        19,        15,        19,        22,        10
